booking_id,hoarding_id,customer_id,start_date,end_date,value,industry_at_booking
B00031,H0012,C0043,2025-10-17,2026-01-10,626127,FMCG
B00032,H0012,C0070,2026-02-06,2026-08-06,1043545,Real Estate
B00033,H0013,C0139,2025-05-25,2025-10-11,667590,Tech
B00034,H0013,C0145,2025-11-16,2026-03-22,534072,Healthcare
B00035,H0013,C0115,2026-04-25,2026-12-30,534072,Automobile
B00036,H0014,C0062,2024-08-06,2024-11-19,241388,Education
B00037,H0015,C0035,2024-07-07,2024-10-26,495904,Real Estate
B00038,H0015,C0142,2024-11-25,2025-03-28,495904,Automobile
B00039,H0016,C0073,2024-08-22,2024-11-12,568284,Tech
B00040,H0016,C0076,2024-11-21,2026-09-25,378856,FMCG
B00041,H0017,C0057,2024-05-23,2024-09-09,300768,Tech
B00042,H0017,C0078,2024-10-26,2025-03-21,375960,Real Estate
B00043,H0017,C0030,2025-04-03,2025-09-08,375960,Tech
B00044,H0017,C0041,2025-10-23,2026-08-02,300768,Tech
B00045,H0018,C0022,2024-03-26,2024-08-30,361645,Healthcare
B00046,H0018,C0010,2024-10-18,2024-12-29,144658,FMCG
B00047,H0018,C0143,2025-01-13,2025-05-05,289316,Education
B00048,H0018,C0033,2025-06-17,2026-12-05,361645,Retail
B00049,H0019,C0083,2024-04-15,2024-08-22,169572,Entertainment
B00050,H0019,C0092,2024-09-16,2024-12-08,127179,F&B
B00051,H0019,C0124,2025-01-22,2025-05-10,169572,F&B
B00052,H0019,C0029,2025-05-24,2025-09-05,127179,F&B
B00053,H0020,C0101,2024-05-05,2024-08-24,722320,Finance
B00054,H0020,C0116,2024-09-02,2024-11-29,541740,Finance
B00055,H0020,C0006,2025-01-22,2025-04-27,541740,Healthcare
B00056,H0020,C0101,2025-05-28,2025-09-09,541740,Finance
B00057,H0021,C0030,2024-07-31,2026-10-09,1738580,Tech
B00058,H0022,C0059,2024-08-29,2026-08-03,70578,Entertainment
B00059,H0023,C0080,2025-05-18,2026-12-28,181540,Retail
B00060,H0024,C0010,2024-02-26,2024-06-10,188244,FMCG
B00061,H0024,C0098,2024-06-24,2024-09-14,141183,Real Estate
B00062,H0025,C0146,2024-12-29,2025-03-12,530784,F&B
B00063,H0025,C0130,2025-03-22,2025-08-24,1326960,Real Estate
B00064,H0026,C0049,2024-10-17,2025-03-01,498420,Automobile
B00065,H0026,C0001,2025-04-25,2025-09-15,498420,Healthcare
B00066,H0026,C0113,2025-10-13,2026-01-08,299052,F&B
B00067,H0026,C0136,2026-02-12,2026-08-27,498420,Real Estate
B00068,H0027,C0060,2024-08-03,2024-11-19,1020524,F&B
B00069,H0027,C0029,2025-01-08,2025-05-11,1020524,F&B
B00070,H0027,C0053,2025-06-02,2026-08-01,1020524,Education
B00071,H0028,C0026,2024-09-21,2025-02-21,187280,FMCG
B00072,H0028,C0110,2025-04-05,2026-11-23,224736,FMCG
B00073,H0029,C0068,2024-10-06,2024-12-27,495261,Tech
B00074,H0029,C0133,2025-01-20,2025-04-01,330174,Finance
B00075,H0029,C0089,2025-05-01,2025-10-08,825435,Healthcare
B00076,H0030,C0098,2024-06-04,2024-11-03,242620,Real Estate
B00077,H0030,C0129,2024-12-09,2025-03-23,145572,Tech
B00078,H0031,C0020,2024-08-24,2025-01-20,278915,Finance
B00079,H0031,C0086,2025-01-27,2025-05-22,223132,Real Estate
B00080,H0031,C0094,2025-06-29,2026-09-10,167349,Real Estate
B00081,H0032,C0054,2024-08-17,2024-11-22,766707,Automobile
B00082,H0032,C0099,2024-12-17,2025-04-30,1022276,Tech
B00083,H0032,C0010,2025-05-26,2025-11-11,1533414,FMCG
B00084,H0032,C0076,2025-11-26,2026-07-30,1277845,FMCG
B00085,H0033,C0139,2024-09-29,2025-01-23,301348,Tech
B00086,H0033,C0039,2025-02-21,2025-05-09,226011,Tech
B00087,H0033,C0059,2025-06-20,2026-11-19,376685,Entertainment
B00088,H0034,C0010,2025-02-05,2025-07-05,391105,FMCG
B00089,H0034,C0002,2025-08-23,2026-01-15,391105,Real Estate
B00090,H0035,C0115,2024-06-15,2024-09-22,104181,Automobile
B00091,H0036,C0009,2025-03-28,2025-08-13,126310,Automobile
B00092,H0036,C0002,2025-10-10,2026-09-11,75786,Real Estate
B00093,H0037,C0080,2024-09-01,2025-01-30,1667550,Retail
B00094,H0037,C0110,2025-02-07,2025-05-13,1000530,FMCG
B00095,H0037,C0081,2025-06-23,2025-10-16,1334040,Real Estate
B00096,H0037,C0107,2025-10-22,2026-08-05,1334040,F&B
B00097,H0038,C0022,2024-07-04,2027-01-03,766401,Healthcare
B00098,H0039,C0065,2025-04-07,2025-09-25,261096,Education
B00099,H0039,C0018,2025-11-01,2026-04-14,217580,Retail
B00100,H0040,C0111,2025-02-11,2025-06-28,1735210,Tech
B00101,H0040,C0051,2025-07-21,2025-10-08,1041126,Real Estate
B00102,H0040,C0070,2025-11-27,2026-03-20,1388168,Real Estate
B00103,H0041,C0020,2024-02-28,2024-05-06,207512,Finance
B00104,H0041,C0060,2024-07-03,2024-12-21,622536,F&B
B00105,H0041,C0127,2025-01-10,2026-10-28,311268,Finance
B00106,H0042,C0141,2024-03-30,2024-09-20,269412,Tech
B00107,H0042,C0143,2024-11-11,2026-08-06,179608,Education
B00108,H0043,C0053,2024-09-15,2025-02-23,205555,Education
B00109,H0043,C0110,2025-04-18,2026-12-12,164444,FMCG
B00110,H0044,C0027,2024-03-07,2024-07-05,132516,FMCG
B00111,H0044,C0144,2024-07-25,2024-09-28,66258,FMCG
B00112,H0044,C0147,2024-10-18,2025-02-19,132516,Finance
B00113,H0045,C0014,2025-05-13,2025-10-31,1890570,F&B
B00114,H0046,C0126,2025-01-26,2026-08-17,508028,F&B
B00115,H0047,C0119,2025-05-02,2026-08-05,1542490,F&B
B00116,H0048,C0113,2025-03-04,2025-07-22,1015410,F&B
B00117,H0048,C0082,2025-08-03,2025-10-03,406164,Education
B00118,H0048,C0016,2025-11-29,2027-01-04,812328,Education
B00119,H0049,C0093,2024-03-08,2024-05-22,1018278,FMCG
B00120,H0050,C0031,2025-06-14,2025-08-25,42678,Automobile
B00121,H0050,C0051,2025-09-17,2026-02-27,106695,Real Estate
B00122,H0050,C0072,2026-04-21,2026-09-30,106695,Entertainment
B00123,H0050,C0058,2026-10-07,2026-12-18,42678,Tech
B00124,H0051,C0114,2024-05-08,2026-10-03,644418,FMCG
B00125,H0052,C0142,2025-01-25,2025-06-03,145564,Automobile
B00126,H0052,C0013,2025-06-20,2025-11-22,181955,Entertainment
B00127,H0052,C0025,2026-01-20,2026-08-06,145564,FMCG
B00128,H0053,C0111,2025-02-07,2025-07-18,178410,Tech
B00129,H0053,C0101,2025-09-02,2026-11-09,107046,Finance
B00130,H0054,C0025,2025-05-04,2025-09-23,475710,FMCG
B00131,H0055,C0147,2024-10-19,2024-12-30,50272,Finance
B00132,H0055,C0103,2025-02-27,2025-07-19,125680,Entertainment
B00133,H0055,C0072,2025-09-17,2026-02-06,125680,Entertainment
B00134,H0055,C0123,2026-02-28,2026-05-24,75408,Tech
B00135,H0056,C0002,2024-04-19,2026-08-12,403305,Real Estate
B00136,H0057,C0111,2025-01-08,2025-05-11,678424,Tech
B00137,H0057,C0045,2025-05-23,2026-07-31,848030,Retail
B00138,H0058,C0020,2024-11-14,2025-02-10,970407,Finance
B00139,H0058,C0071,2025-03-29,2025-09-08,1617345,F&B
B00140,H0058,C0090,2025-11-01,2026-12-15,1940814,Healthcare
B00141,H0059,C0018,2024-12-12,2025-04-27,751375,Retail
B00142,H0059,C0121,2025-05-07,2025-08-17,450825,Real Estate
B00143,H0059,C0018,2025-10-15,2026-03-25,751375,Retail
B00144,H0060,C0030,2024-03-21,2024-06-10,65289,Tech
B00145,H0061,C0116,2025-06-26,2025-11-15,1208075,Finance
B00146,H0061,C0123,2025-12-03,2026-05-15,1208075,Tech
B00147,H0061,C0019,2026-05-23,2026-10-17,1208075,Tech
B00148,H0061,C0056,2026-11-06,2026-08-20,483230,F&B
B00149,H0062,C0110,2024-08-28,2024-11-23,115065,FMCG
B00150,H0062,C0128,2024-12-08,2025-02-14,76710,F&B
B00151,H0062,C0045,2025-02-20,2025-07-16,191775,Retail
B00152,H0062,C0062,2025-07-22,2026-08-02,76710,Education
B00153,H0063,C0009,2024-06-13,2024-09-03,170658,Automobile
B00154,H0063,C0116,2024-09-18,2024-12-26,170658,Finance
B00155,H0063,C0137,2025-01-10,2025-04-26,227544,Automobile
B00156,H0063,C0010,2025-05-12,2026-12-11,284430,FMCG
B00157,H0064,C0123,2024-05-04,2024-10-04,201440,Tech
B00158,H0064,C0136,2024-10-23,2025-01-08,120864,Real Estate
B00159,H0065,C0053,2024-05-04,2024-10-06,800655,Education
B00160,H0065,C0143,2024-11-02,2025-04-24,960786,Education
B00161,H0065,C0113,2025-06-09,2025-08-15,320262,F&B
B00162,H0066,C0087,2024-08-06,2026-10-18,229698,Real Estate
B00163,H0067,C0009,2025-03-08,2025-07-25,294485,Automobile
B00164,H0067,C0136,2025-08-06,2026-01-18,353382,Real Estate
B00165,H0067,C0117,2026-02-08,2026-04-18,117794,Entertainment
B00166,H0067,C0117,2026-05-06,2026-08-04,235588,Entertainment
B00167,H0068,C0086,2025-03-11,2025-07-08,665720,Real Estate
B00168,H0068,C0067,2025-09-06,2026-12-27,832150,FMCG
B00169,H0069,C0129,2024-10-06,2024-12-09,644364,Tech
B00170,H0069,C0049,2025-01-30,2025-06-09,1288728,Automobile
B00171,H0070,C0035,2024-08-15,2024-11-06,185754,Real Estate
B00172,H0070,C0100,2024-11-26,2025-03-17,247672,Healthcare
B00173,H0070,C0010,2025-04-03,2025-07-27,247672,FMCG
B00174,H0070,C0131,2025-09-01,2026-02-02,309590,F&B
B00175,H0071,C0090,2024-11-21,2025-05-05,535056,Healthcare
B00176,H0071,C0115,2025-05-11,2025-08-04,267528,Automobile
B00177,H0071,C0093,2025-08-18,2026-09-22,356704,FMCG
B00178,H0072,C0024,2024-10-25,2025-03-19,315265,F&B
B00179,H0072,C0050,2025-05-03,2026-08-06,315265,Education
B00180,H0073,C0090,2025-02-05,2025-04-07,327986,Healthcare
B00181,H0073,C0025,2025-05-16,2025-08-02,491979,FMCG
B00182,H0073,C0022,2025-09-09,2027-01-04,327986,Healthcare
B00183,H0074,C0144,2024-11-22,2025-02-24,420249,FMCG
B00184,H0075,C0041,2024-07-26,2024-12-09,1328580,Tech
B00185,H0075,C0037,2025-01-15,2025-04-19,797148,F&B
B00186,H0075,C0069,2025-05-02,2025-10-01,1328580,Retail
B00187,H0076,C0112,2024-07-10,2026-09-25,154875,Tech
B00188,H0077,C0122,2024-06-09,2026-08-06,175220,Automobile
B00189,H0078,C0059,2024-07-05,2024-12-04,223555,Entertainment
B00190,H0078,C0147,2025-01-24,2026-11-12,134133,Finance
B00191,H0079,C0080,2025-06-25,2025-09-14,433884,Retail
B00192,H0079,C0096,2025-11-12,2026-04-15,723140,Healthcare
B00193,H0080,C0032,2025-01-19,2025-04-09,671253,Retail
B00194,H0081,C0047,2024-09-16,2025-03-03,1108464,Automobile
B00195,H0081,C0084,2025-04-09,2025-06-25,554232,Entertainment
B00196,H0081,C0083,2025-07-31,2026-01-08,923720,Entertainment
B00197,H0081,C0096,2026-02-19,2026-08-28,738976,Healthcare
B00198,H0082,C0129,2024-12-16,2025-04-28,1056212,Tech
B00199,H0082,C0086,2025-06-09,2025-08-26,792159,Real Estate
B00200,H0082,C0134,2025-10-20,2026-04-10,1584318,Healthcare
B00201,H0082,C0013,2026-04-30,2026-07-31,792159,Entertainment
B00202,H0083,C0145,2024-03-24,2024-07-08,163936,Healthcare
B00203,H0083,C0006,2024-08-23,2026-12-10,245904,Healthcare
B00204,H0084,C0112,2024-05-24,2024-09-23,338068,Tech
B00205,H0084,C0124,2024-10-30,2025-04-14,507102,F&B
B00206,H0084,C0012,2025-06-02,2025-11-12,422585,Entertainment
B00207,H0085,C0134,2024-03-11,2024-08-29,629442,Healthcare
B00208,H0085,C0089,2024-10-01,2025-02-15,524535,Healthcare
B00209,H0086,C0057,2025-03-11,2025-05-19,149664,Tech
B00210,H0086,C0090,2025-07-10,2026-10-22,224496,Healthcare
B00211,H0087,C0039,2025-06-16,2026-08-01,573858,Tech
B00212,H0088,C0008,2024-05-29,2024-09-21,225900,F&B
B00213,H0088,C0071,2024-10-29,2025-04-05,282375,F&B
B00214,H0088,C0016,2025-05-14,2026-12-08,169425,Education
B00215,H0089,C0140,2024-04-12,2024-08-24,185764,Real Estate
B00216,H0090,C0136,2025-01-03,2025-06-02,306795,Real Estate
B00217,H0090,C0006,2025-06-21,2025-12-10,368154,Healthcare
B00218,H0091,C0017,2024-08-24,2024-12-05,394389,Real Estate
B00219,H0091,C0098,2024-12-30,2025-03-09,262926,Real Estate
B00220,H0091,C0005,2025-04-12,2026-09-29,657315,FMCG
B00221,H0092,C0031,2025-03-14,2025-05-22,323180,Automobile
B00222,H0092,C0060,2025-06-11,2025-09-04,484770,F&B
B00223,H0092,C0007,2025-09-17,2026-08-02,646360,F&B
B00224,H0093,C0112,2025-07-01,2026-12-06,146064,Tech
B00225,H0094,C0121,2025-05-23,2025-09-25,166628,Real Estate
B00226,H0094,C0041,2025-11-04,2026-04-05,208285,Tech
B00227,H0094,C0033,2026-04-14,2026-08-01,166628,Retail
B00228,H0094,C0110,2026-09-22,2027-02-27,208285,FMCG
B00229,H0095,C0070,2025-04-16,2025-06-30,64104,Real Estate
B00230,H0095,C0027,2025-07-13,2025-12-02,106840,FMCG
B00231,H0095,C0011,2025-12-13,2026-03-20,64104,Automobile
B00232,H0096,C0015,2024-04-03,2026-08-10,1507865,Real Estate
B00233,H0097,C0121,2024-12-14,2025-06-10,134214,Real Estate
B00234,H0097,C0119,2025-06-22,2025-09-19,67107,F&B
B00235,H0097,C0092,2025-11-15,2026-08-05,111845,F&B
B00236,H0098,C0091,2024-04-28,2026-12-11,415612,Tech
B00237,H0099,C0044,2024-08-29,2025-02-19,533508,Real Estate
B00238,H0099,C0148,2025-04-20,2025-08-12,355672,FMCG
B00239,H0099,C0093,2025-09-09,2026-03-01,533508,FMCG
B00240,H0099,C0098,2026-03-20,2026-05-31,177836,Real Estate
B00241,H0100,C0104,2024-09-04,2025-01-30,1586755,FMCG
B00242,H0100,C0074,2025-02-24,2025-05-12,952053,F&B
B00243,H0100,C0028,2025-06-16,2025-11-16,1586755,Retail
B00244,H0101,C0096,2025-02-08,2025-07-29,862830,Healthcare
B00245,H0101,C0135,2025-09-08,2025-11-10,287610,Healthcare
B00246,H0101,C0053,2025-12-10,2026-03-03,431415,Education
B00247,H0101,C0046,2026-04-16,2026-09-22,575220,Tech
B00248,H0102,C0060,2024-07-11,2024-11-29,816180,F&B
B00249,H0102,C0042,2025-01-12,2026-08-01,979416,F&B
B00250,H0103,C0116,2025-05-19,2025-07-21,165838,Finance
B00251,H0103,C0117,2025-09-17,2026-12-24,165838,Entertainment
B00252,H0104,C0125,2024-06-15,2024-11-04,1650010,Healthcare
B00253,H0104,C0092,2025-01-01,2025-03-02,660004,F&B
B00254,H0104,C0133,2025-04-20,2025-08-28,1320008,Finance
B00255,H0104,C0044,2025-10-06,2026-01-01,990006,Real Estate
B00256,H0105,C0078,2025-06-01,2025-11-24,2024328,Real Estate
B00257,H0105,C0094,2025-12-02,2026-05-19,2024328,Real Estate
B00258,H0105,C0039,2026-06-03,2026-08-06,674776,Tech
B00259,H0105,C0023,2026-09-09,2027-02-28,2024328,Tech
B00260,H0106,C0036,2025-05-13,2025-08-28,232360,Education
B00261,H0106,C0063,2025-09-19,2026-02-06,290450,FMCG
B00262,H0106,C0036,2026-04-07,2026-09-14,290450,Education
B00263,H0106,C0132,2026-11-13,2026-08-24,290450,FMCG
B00264,H0107,C0107,2024-06-10,2024-08-11,547300,F&B
B00265,H0107,C0063,2024-09-24,2025-03-08,1641900,FMCG
B00266,H0107,C0015,2025-04-22,2025-10-08,1641900,Real Estate
B00267,H0107,C0139,2025-11-08,2026-07-31,1641900,Tech
B00268,H0108,C0062,2024-11-08,2025-03-29,134330,Education
B00269,H0108,C0133,2025-04-27,2026-11-14,107464,Finance
B00270,H0109,C0078,2024-03-11,2024-08-27,547848,Real Estate
B00271,H0110,C0101,2024-12-15,2025-05-03,668535,Finance
B00272,H0111,C0129,2024-05-20,2024-09-10,87556,Tech
B00273,H0111,C0071,2024-09-17,2024-12-25,65667,F&B
B00274,H0111,C0104,2025-01-09,2026-08-21,109445,FMCG
B00275,H0112,C0008,2024-12-19,2025-04-13,177904,F&B
B00276,H0112,C0124,2025-05-28,2025-10-18,222380,F&B
B00277,H0112,C0081,2025-11-19,2026-02-24,133428,Real Estate
B00278,H0112,C0141,2026-04-07,2026-08-03,222380,Tech
B00279,H0113,C0006,2025-03-06,2026-11-08,1504662,Healthcare
B00280,H0114,C0054,2024-10-16,2025-02-07,926848,Automobile
B00281,H0114,C0097,2025-02-24,2025-06-17,926848,Healthcare
B00282,H0114,C0080,2025-08-10,2026-01-15,1158560,Retail
B00283,H0114,C0006,2026-02-13,2026-04-22,463424,Healthcare
B00284,H0115,C0080,2024-05-21,2024-10-01,774616,Retail
B00285,H0115,C0095,2024-10-11,2025-03-19,968270,Automobile
B00286,H0116,C0134,2024-05-30,2026-10-09,374571,Healthcare
B00287,H0117,C0008,2024-06-15,2024-11-05,111685,F&B
B00288,H0117,C0005,2025-01-03,2025-03-06,44674,FMCG
B00289,H0117,C0014,2025-04-08,2025-09-08,111685,F&B
B00290,H0117,C0024,2025-09-14,2026-08-04,67011,F&B
B00291,H0118,C0016,2024-03-20,2026-11-24,907130,Education
B00292,H0119,C0147,2024-02-29,2024-05-11,365160,Finance
B00293,H0119,C0104,2024-06-12,2024-09-01,547740,FMCG
B00294,H0119,C0081,2024-10-30,2025-02-14,730320,Real Estate
B00295,H0119,C0004,2025-03-22,2025-09-05,1095480,Tech
B00296,H0120,C0043,2024-07-16,2024-09-15,183710,FMCG
B00297,H0120,C0090,2024-10-05,2025-03-01,459275,Healthcare
B00298,H0120,C0093,2025-03-07,2025-07-15,367420,FMCG
B00299,H0120,C0061,2025-08-07,2025-10-11,183710,FMCG
B00300,H0121,C0105,2025-05-17,2025-11-04,504948,Finance
B00301,H0121,C0136,2025-12-15,2026-10-19,420790,Real Estate
B00302,H0122,C0106,2024-10-13,2025-04-08,293604,Education
B00303,H0122,C0002,2025-05-14,2026-08-05,146802,Real Estate
B00304,H0123,C0019,2024-12-11,2025-03-02,585780,Tech
B00305,H0123,C0120,2025-04-20,2025-07-02,390520,Tech
B00306,H0123,C0004,2025-07-31,2026-01-08,976300,Tech
B00307,H0123,C0092,2026-01-13,2026-12-11,781040,F&B
B00308,H0124,C0090,2024-10-25,2025-03-22,679930,Healthcare
B00309,H0124,C0062,2025-04-11,2025-10-08,815916,Education
B00310,H0124,C0150,2025-11-11,2026-02-03,407958,Education
B00311,H0125,C0149,2025-05-14,2025-08-23,914760,Real Estate
B00312,H0125,C0108,2025-10-02,2026-02-21,1524600,Automobile
B00313,H0125,C0063,2026-03-06,2026-06-10,914760,FMCG
B00314,H0126,C0090,2025-05-30,2025-09-18,256704,Healthcare
B00315,H0126,C0113,2025-09-30,2026-01-26,256704,F&B
B00316,H0126,C0047,2026-03-12,2026-10-26,385056,Automobile
B00317,H0127,C0021,2024-03-13,2026-08-07,439806,Education
B00318,H0128,C0015,2024-04-15,2026-12-08,746084,Real Estate
B00319,H0129,C0033,2024-05-03,2024-07-02,78578,Retail
B00320,H0130,C0092,2024-07-11,2024-10-26,231440,F&B
B00321,H0130,C0150,2024-12-17,2025-05-16,289300,Education
B00322,H0130,C0040,2025-07-03,2025-09-13,115720,Real Estate
B00323,H0130,C0085,2025-11-08,2026-04-25,347160,Education
B00324,H0131,C0045,2024-08-22,2024-12-26,201816,Retail
B00325,H0131,C0049,2025-01-16,2026-08-16,252270,Automobile
B00326,H0132,C0050,2024-03-01,2026-08-07,854181,Education
B00327,H0133,C0076,2025-03-14,2025-08-13,1180720,FMCG
B00328,H0133,C0039,2025-09-12,2026-11-10,944576,Tech
B00329,H0134,C0036,2024-04-15,2024-08-03,247672,Education
B00330,H0134,C0121,2024-09-30,2025-03-21,371508,Real Estate
B00331,H0134,C0133,2025-04-12,2025-09-28,371508,Finance
B00332,H0135,C0046,2024-11-01,2025-01-03,693068,Tech
B00333,H0136,C0137,2025-05-15,2025-10-11,187040,Automobile
B00334,H0136,C0005,2025-11-03,2026-01-26,112224,FMCG
B00335,H0136,C0110,2026-02-25,2026-10-29,187040,FMCG
B00336,H0137,C0031,2024-03-31,2026-07-31,324684,Automobile
B00337,H0138,C0047,2025-03-12,2027-01-05,149685,Automobile
B00338,H0139,C0081,2024-12-04,2025-02-09,383606,Real Estate
B00339,H0140,C0073,2025-01-25,2025-07-03,377375,Tech
B00340,H0141,C0080,2025-05-31,2025-11-06,821615,Retail
B00341,H0141,C0031,2025-12-10,2026-04-10,657292,Automobile
B00342,H0141,C0110,2026-05-09,2026-11-04,328646,FMCG
B00343,H0142,C0025,2024-08-23,2024-10-28,210110,FMCG
B00344,H0142,C0117,2024-11-24,2025-04-27,525275,Entertainment
B00345,H0142,C0079,2025-05-23,2025-09-22,420220,Tech
B00346,H0142,C0025,2025-11-03,2026-08-05,315165,FMCG
B00347,H0143,C0080,2024-11-08,2026-12-12,1102724,Retail
B00348,H0144,C0017,2024-08-06,2025-01-29,219156,Real Estate
B00349,H0144,C0025,2025-03-02,2025-07-28,182630,FMCG
B00350,H0144,C0044,2025-09-23,2026-01-18,146104,Real Estate
B00351,H0144,C0117,2026-01-27,2026-04-14,109578,Entertainment
B00352,H0145,C0115,2024-10-30,2025-03-01,797560,Automobile
B00353,H0145,C0061,2025-03-10,2025-08-05,996950,FMCG
B00354,H0145,C0080,2025-10-02,2026-02-10,797560,Retail
B00355,H0146,C0123,2024-08-17,2024-10-28,242946,Tech
B00356,H0146,C0060,2024-11-29,2026-08-25,242946,F&B
B00357,H0147,C0094,2025-03-07,2025-07-06,1212604,Real Estate
B00358,H0147,C0008,2025-07-17,2026-08-01,606302,F&B
B00359,H0148,C0073,2024-03-11,2024-05-21,249860,Tech
B00360,H0148,C0069,2024-07-14,2026-11-26,749580,Retail
B00361,H0149,C0097,2024-03-14,2024-08-25,192365,Healthcare
B00362,H0149,C0113,2024-09-27,2024-12-16,115419,F&B
B00363,H0149,C0081,2025-01-19,2025-03-28,76946,Real Estate
B00364,H0150,C0116,2024-12-29,2025-03-18,77727,Finance
B00365,H0150,C0019,2025-04-18,2025-06-22,51818,Tech
B00366,H0151,C0004,2024-02-26,2024-04-26,512328,Tech
B00367,H0151,C0088,2024-06-24,2024-10-02,768492,Education
B00368,H0151,C0091,2024-10-21,2026-10-15,1280820,Tech
B00369,H0152,C0080,2025-02-22,2025-06-25,230580,Retail
B00370,H0152,C0105,2025-08-18,2026-08-05,230580,Finance
B00371,H0153,C0033,2025-04-08,2026-12-03,339448,Retail
B00372,H0154,C0104,2024-02-22,2024-04-27,123222,FMCG
B00373,H0155,C0025,2024-11-07,2025-03-10,395608,FMCG
B00374,H0155,C0147,2025-04-24,2025-09-09,494510,Finance
B00375,H0156,C0043,2025-02-21,2025-07-13,911085,FMCG
B00376,H0156,C0084,2025-08-06,2025-10-30,546651,Entertainment
B00377,H0156,C0109,2025-12-11,2026-04-29,911085,Healthcare
B00378,H0156,C0102,2026-05-20,2026-09-27,911085,Retail
B00379,H0157,C0027,2025-03-21,2025-06-14,427059,FMCG
B00380,H0157,C0101,2025-08-06,2026-01-09,711765,Finance
B00381,H0157,C0144,2026-02-13,2026-08-12,854118,FMCG
B00382,H0157,C0030,2026-08-23,2026-08-02,284706,Tech
B00383,H0158,C0078,2025-05-11,2025-07-27,849213,Real Estate
B00384,H0158,C0139,2025-09-15,2026-11-09,566142,Tech
B00385,H0159,C0128,2024-02-24,2024-06-06,383199,F&B
B00386,H0160,C0032,2024-07-16,2024-12-08,269100,Retail
B00387,H0160,C0048,2025-02-06,2025-05-27,215280,Automobile
B00388,H0161,C0107,2024-10-05,2026-08-09,676884,F&B
B00389,H0162,C0121,2025-06-21,2025-11-01,798496,Real Estate
B00390,H0162,C0122,2025-12-19,2026-08-04,998120,Automobile
B00391,H0163,C0139,2024-07-29,2024-12-01,167556,Tech
B00392,H0163,C0132,2025-01-25,2025-07-18,251334,FMCG
B00393,H0163,C0010,2025-08-12,2025-10-31,125667,FMCG
B00394,H0163,C0061,2025-11-14,2026-11-30,209445,FMCG
B00395,H0164,C0129,2024-06-30,2024-11-07,210704,Tech
B00396,H0164,C0116,2024-12-20,2025-03-12,158028,Finance
B00397,H0164,C0081,2025-04-12,2025-10-03,316056,Real Estate
B00398,H0164,C0055,2025-10-18,2025-12-20,105352,Education
B00399,H0165,C0140,2025-01-28,2025-04-22,110631,Real Estate
B00400,H0165,C0088,2025-05-19,2025-08-13,110631,Education
B00401,H0165,C0116,2025-09-30,2025-12-20,110631,Finance
B00402,H0165,C0001,2026-01-24,2026-05-27,147508,Healthcare
B00403,H0166,C0122,2024-12-01,2025-05-06,183140,Automobile
B00404,H0166,C0053,2025-05-13,2025-10-11,183140,Education
B00405,H0166,C0070,2025-10-28,2026-02-21,146512,Real Estate
B00406,H0166,C0019,2026-03-08,2026-10-23,183140,Tech
B00407,H0167,C0119,2024-05-18,2024-07-23,224130,F&B
B00408,H0167,C0044,2024-08-04,2025-01-29,672390,Real Estate
B00409,H0167,C0014,2025-02-07,2025-06-24,560325,F&B
B00410,H0167,C0039,2025-07-18,2026-07-29,336195,Tech
B00411,H0168,C0121,2025-03-28,2025-09-11,870624,Real Estate
